iReady_Admin,Subject,Student ID,Student Grade,Academic Year,Enrolled,Sex,Hispanic or Latino,Race,English Language Learner,Special Education,Economically Disadvantaged,Migrant,Class(es),Class Teacher(s),Report Group(s),Start Date,Completion Date,Baseline Diagnostic (Y/N),Most Recent Diagnostic (Y/N),Duration (min),Rush Flag,Overall Scale Score,Overall Placement,Overall Relative Placement,Percentile,Grouping,Lexile Measure,Lexile Range,Phonological Awareness Scale Score,Phonological Awareness Placement,Phonological Awareness Relative Placement,Phonics Scale Score,Phonics Placement,Phonics Relative Placement,High-Frequency Words Scale Score,High-Frequency Words Placement,High-Frequency Words Relative Placement,Vocabulary Scale Score,Vocabulary Placement,Vocabulary Relative Placement,Reading Comprehension: Overall Scale Score,Reading Comprehension: Overall Placement,Reading Comprehension: Overall Relative Placement,Reading Comprehension: Literature Scale Score,Reading Comprehension: Literature Placement,Reading Comprehension: Literature Relative Placement,Reading Comprehension: Informational Text Scale Score,Reading Comprehension: Informational Text Placement,Reading Comprehension: Informational Text Relative Placement,Diagnostic Gain,Annual Typical Growth Measure,Annual Stretch Growth Measure,Percent Progress to Annual Typical Growth (%),Percent Progress to Annual Stretch Growth (%),Mid On Grade Level Scale Score,Reading Difficulty Indicator (Y/N)
iReady 4,ELA,1742015,7,2022-2023,Enrolled,male,N,Black or African American,,,,,"Current Events 7 - Joyner - Period 5-63923060f10539797e54e91b; ELA 7 - McMillan - Period 3-6306414edec4186a935552a5; Homeroom 7 - Abdul-Quddus - Homeroom MS-62c47c737082816f437258d4; Mathematics 7 - DiPierro - Period 8-630647b14839ae3b4b0b9d2c; Music 7 - Villamil Gomez - Period 6-63065c114d1c76105a6c2efb; Science 7 - Davis - Period 14-63064681dbb9dd4f943007a0; Social Studies, History, and Geography 7 - Erstein - Period 11-63065a5c19a57649536a738a","Davis, Georgette; DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Lightfoot, Shea; McMillan, Michele; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",7th Grade Reading; All MS Scholars; All MS Students,06/06/2023,06/06/2023,N,Y,47,,515,Level 3,3 or More Grade Levels Below,8,3,625L,525L-675L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,556,Level 4,3 or More Grade Levels Below,494,Level 2,3 or More Grade Levels Below,529,Level 3,3 or More Grade Levels Below,450,Level 1,3 or More Grade Levels Below,3,17,50,18,6,632,Not Provided
iReady 4,ELA,1252019,3,2022-2023,Enrolled,male,N,Black or African American,,,,,Homeroom 3 - Stadler - Homeroom IS-62c47c737082816f437258db; Mathematics 3 - Swaby - Period 7-62f2b003e760951681540018; Reading 3 - Stadler - Period 14-62f2b003e760951681540008; Science 3 - Stadler - Period 3-62f2b003e760951681540002; Small Group Instruction/What I Need 3 - Stadler - Period 5-62f6a39a9d2533345d748d8b,"Stadler, Haley; Swaby, Chisoney",3rd Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,65,,516,Early 3,Early On Grade Level,35,3,630L,530L-680L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,504,Level 2,1 Grade Level Below,522,Early 3,Early On Grade Level,512,Level 2,1 Grade Level Below,532,Early 3,Early On Grade Level,64,33,63,194,102,545,N
iReady 4,ELA,1182021,1,2022-2023,Enrolled,male,,Black or African American,,,,,Homeroom 1 - Witherspoon - Homeroom PS-62c47c737082816f437258e6; Mathematics 1 - Brown - Period 11-62f693a71f27ae5a02559a11; Reading 1 - Witherspoon - Period 3-6310fe798c898d0b4e58c1b6; Science 1 - Witherspoon - Period 13-62fa506e8914f13d8a6cb7fc; Small Group Instruction/What I Need 1 - Witherspoon - Period 15-631f5afc66139f557d26d39d; Small Group Instruction/What I Need 1 - Witherspoon - Period 6-631f45525177f037c8034eab; Structured Play 1 - Gonzalez Giraldo - Period 8-62f693a71f27ae5a02559a0c,"Brady, Jacquelyn; Brown, Taphenese; Gonzalez Giraldo, Isabella; McMillan, Sharone; Witherspoon, Genevee; Wright, Ryan",1st Grade Reading; All PS Reading; Catapult Tutoring with Added Students; Primary School,06/06/2023,06/06/2023,N,Y,28,Yellow Rush Flag,439,Early 1,Early On Grade Level,40,4,40L,BR60L-90L,444,Mid 1,Mid or Above Grade Level,453,Early 1,Early On Grade Level,480,Level 2,Mid or Above Grade Level,446,Early 1,Early On Grade Level,400,Level K,1 Grade Level Below,413,Level K,1 Grade Level Below,386,Level K,1 Grade Level Below,60,49,67,122,90,458,N
iReady 4,ELA,1162017,5,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 5 - Nance - Homeroom IS-62c47c737082816f437258d8; Mathematics 5 - Crowell - Period 11-62f2b003e760951681540019; Reading 5 - Nance - Period 3-62f2b003e760951681540003; Science 5 - Nance - Period 8-62f2b003e76095168153fffc; Small Group Instruction/What I Need 5 - Nance - Period 5-62f6a39a9d2533345d748d91,"Alfonse, Emily; Crowell, Siani; Lewis, Bridget; Moore, Andrea; Nance, Shanae",5th Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,77,,622,Mid 5,Mid or Above Grade Level,82,5,1115L,1015L-1165L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,638,Late 5,Mid or Above Grade Level,614,Mid 5,Mid or Above Grade Level,620,Mid 5,Mid or Above Grade Level,608,Early 5,Early On Grade Level,16,13,25,123,64,609,Not Provided
iReady 4,ELA,1202016,6,2022-2023,Enrolled,male,N,Black or African American,,,,,"Current Events 6 - Joyner - Period 13-639227fe8b34984aad66c2e7; ELA 6 - Campana - Period 9-62fa66625523e9386e2ac58b; Homeroom 6 - Dougherty - Homeroom MS-62c47c737082816f437258d2; Mathematics 6 - Dougherty - Period 5-630647b14839ae3b4b0b9d2d; Music 6 - Villamil Gomez - Period 11-630654c37e0a833ef607c903; Science 6 - Kelley - Period 14-63064681dbb9dd4f943007a1; Social Studies, History, and Geography 6 - Erstein - Period 3-62fa6b2110304d1b623d5446","Campana, Ashley; Dougherty, Thomas; Erstein, Kali; Kelley, Brian; Lightfoot, Shea; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",6th Grade Reading; All MS Scholars; All MS Students,06/08/2023,06/08/2023,N,Y,86,Yellow Rush Flag,569,Level 5,1 Grade Level Below,35,4,870L,770L-920L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,604,Early 6,Early On Grade Level,551,Level 4,2 Grade Levels Below,554,Level 4,2 Grade Levels Below,548,Level 4,2 Grade Levels Below,49,19,51,258,96,616,Not Provided
iReady 4,ELA,1262019,3,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 3 - Carroll - Homeroom IS-62c47c737082816f437258da; Mathematics 3 - Swaby - Period 11-62f2b003e76095168154001d; Reading 3 - Carroll - Period 3-62f2b003e760951681540009; Science 3 - Carroll - Period 7-62f2b003e76095168153fffd; Small Group Instruction/What I Need 3 - Carroll - Period 5-62f6a39a9d2533345d748d89,"Carroll, Victoria; Swaby, Chisoney",3rd Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,49,Yellow Rush Flag,503,Level 2,1 Grade Level Below,28,2,575L,475L-625L,,Tested Out,Mid or Above Grade Level,493,Level 2,1 Grade Level Below,,Tested Out,Mid or Above Grade Level,550,Mid 3,Mid or Above Grade Level,484,Level 2,1 Grade Level Below,518,Early 3,Early On Grade Level,442,Level 1,2 Grade Levels Below,0,22,39,0,0,545,Y
iReady 4,ELA,1242023,K,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,ESL Grade K - Dougherty - Period 7-6329fa57e434967a59140d53; Homeroom K - Eugene - Homeroom PS-62c47c737082816f437258e1; Mathematics K - Eugene - Period 14-62f693766c6b433381175d31; Reading K - Eugene - Period 5-62fa4e36c252017f1f56294b; Science K - Eugene - Period 10-62fbb3244ef1494353591b4e; Small Group Instruction/What I Need K - Eugene - Period 13-62fa51354736b34e5e7da824; Small Group Instruction/What I Need K - Eugene - Period 3-62fa5465035865068d0f3f81; Structured Play K - Gonzalez Giraldo - Period 11-62f693766c6b433381175d2d,"Brady, Jacquelyn; Dougherty, Erin; Eugene, Christina; Gonzalez Giraldo, Isabella; Mason, Sesheni",All PS Reading; Kindergarten Reading; PS ESL; Primary School,06/06/2023,06/06/2023,N,Y,54,,358,Emerging K,1 Grade Level Below,16,3,BR400L,BR400L,362,Early / Mid K,Early On Grade Level,367,Early K,Early On Grade Level,358,Emerging K,1 Grade Level Below,348,Emerging K,1 Grade Level Below,356,Emerging K,1 Grade Level Below,327,Emerging K,1 Grade Level Below,383,Early K,Early On Grade Level,43,49,67,88,64,396,N
iReady 4,ELA,1762015,7,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,"Current Events 7 - Joyner - Period 13-63923111e86fa7519d6ba851; ELA 7 - McMillan - Period 13-6306414edec4186a935552a2; Homeroom 7 - Fergusson - Homeroom MS-62c47c737082816f437258cf; Mathematics 7 - DiPierro - Period 5-630647b14839ae3b4b0b9d2a; Music 7 - Villamil Gomez - Period 10-63065c114d1c76105a6c2efa; Science 7 - Kelley - Period 8-63064681dbb9dd4f943007a4; Social Studies, History, and Geography 7 - Henry - Period 3-63065a5c19a57649536a7388","DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; McMillan, Michele; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",7th Grade Reading; All MS Scholars; All MS Students,06/06/2023,06/06/2023,N,Y,117,,659,Late 7,Mid or Above Grade Level,88,5,1280L,1180L-1330L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,668,Late 7,Mid or Above Grade Level,655,Late 7,Mid or Above Grade Level,640,Mid 7,Mid or Above Grade Level,670,Level 8,Mid or Above Grade Level,22,4,14,550,157,632,Not Provided
iReady 4,ELA,1302018,4,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,Homeroom 4 - Shugars - Homeroom IS-62c47c737082816f437258dd; Mathematics 4 - Turner - Period 3-62f2b003e76095168154001a; Reading 4 - Shugars - Period 13-62f2b003e76095168154000e; Science 4 - Shugars - Period 7-62f2b003e76095168153fffe; Small Group Instruction/What I Need 4 - Shugars - Period 11-62f6a39a9d2533345d748d8c,"Moore, Andrea; Shugars, Emily; Turner, Inayah",4th Grade Reading; All IS Reading; Catapult Tutoring with Added Students,06/06/2023,06/08/2023,N,Y,90,,559,Early 4,Early On Grade Level,51,5,825L,725L-875L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,560,Early 4,Early On Grade Level,558,Early 4,Early On Grade Level,558,Early 4,Early On Grade Level,558,Early 4,Early On Grade Level,43,20,36,215,119,579,Not Provided
iReady 4,ELA,1212020,2,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,Homeroom 2 - Del Rosario - Homeroom PS-62c47c737082816f437258e0; Mathematics 2 - Wright - Period 14-62f693c16b50b95cca1b4ff9; Reading 2 - Zalot - Period 3-6311008874fc9c462467db72; Science 2 - Del Rosario - Period 6-62fa506e8914f13d8a6cb7f9; Small Group Instruction/What I Need 2 - Del Rosario - Period 11-631f46170d210e04a75e8370; Small Group Instruction/What I Need 2 - Del Rosario - Period 13-631f5878e8ee8f670a399763; Structured Play 2 - Gonzalez Giraldo - Period 10-62f693c16b50b95cca1b4ff7,"Brady, Jacquelyn; Cesar-Joisil, Daphnir; Del Rosario, Gina; Gonzalez Giraldo, Isabella; Wright, Ryan; Zalot, Amy",2nd Grade Reading; All PS Reading; Primary School,06/06/2023,06/07/2023,N,Y,128,,513,Mid 2,Mid or Above Grade Level,57,5,620L,520L-670L,,Tested Out,Mid or Above Grade Level,525,Late 2,Mid or Above Grade Level,520,Max Score,Mid or Above Grade Level,508,Early 2,Early On Grade Level,507,Early 2,Early On Grade Level,482,Level 1,1 Grade Level Below,532,Mid 2,Mid or Above Grade Level,90,39,53,231,170,513,N
iReady 4,ELA,32352020,K,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,Homeroom K - Alagona - Homeroom PS-62c47c737082816f437258df; Mathematics K - Alagona - Period 10-62f693766c6b433381175d30; Reading K - Alagona - Period 5-62fa4e36c252017f1f56294a; Science K - Alagona - Period 11-62fbb3244ef1494353591b4c; Small Group Instruction/What I Need K - Alagona - Period 13-62fa51d02d6f160d77727e56; Small Group Instruction/What I Need K - Alagona - Period 3-62fa54b7c9b8187c0f2bf89e; Structured Play K - Gonzalez Giraldo - Period 14-62f693766c6b433381175d2c,"Alagona, Brooke; Bang, Julie; Brady, Jacquelyn; Gonzalez Giraldo, Isabella",Kindergarten Reading,06/06/2023,06/06/2023,N,Y,30,,457,Late K,Mid or Above Grade Level,92,5,155L,55L-205L,458,Level 1,Mid or Above Grade Level,480,Level 1,Mid or Above Grade Level,477,Level 2,Mid or Above Grade Level,406,Mid / Late K,Mid or Above Grade Level,457,Mid / Late K,Mid or Above Grade Level,471,Mid / Late K,Mid or Above Grade Level,443,Mid / Late K,Mid or Above Grade Level,98,49,67,200,146,396,N
iReady 4,ELA,1172017,4,2022-2023,Enrolled,male,N,Black or African American,,,,,Homeroom 4 - Shugars - Homeroom IS-62c47c737082816f437258dd; Mathematics 4 - Turner - Period 3-62f2b003e76095168154001a; Reading 4 - Shugars - Period 13-62f2b003e76095168154000e; Science 4 - Shugars - Period 7-62f2b003e76095168153fffe; Small Group Instruction/What I Need 4 - Shugars - Period 11-62f6a39a9d2533345d748d8c,"Moore, Andrea; Shugars, Emily; Turner, Inayah",4th Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,79,,506,Level 3,1 Grade Level Below,18,1,585L,485L-635L,,Tested Out,Mid or Above Grade Level,495,Level 2,2 Grade Levels Below,,Tested Out,Mid or Above Grade Level,555,Level 3,1 Grade Level Below,485,Level 2,2 Grade Levels Below,474,Level 1,3 or More Grade Levels Below,493,Level 2,2 Grade Levels Below,22,23,50,96,44,579,Not Provided
iReady 4,ELA,1322018,4,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,Homeroom 4 - Lynch - Homeroom IS-62c47c737082816f437258de; Mathematics 4 - Turner - Period 13-62f2b003e76095168154001c; Reading 4 - Lynch - Period 7-62f2b003e760951681540007; Science 4 - Lynch - Period 3-62f2b003e76095168153fffb; Small Group Instruction/What I Need 4 - Lynch - Period 11-62f6a39a9d2533345d748d8d,"Lynch, Ashley; Moore, Andrea; Turner, Inayah",4th Grade Reading; All IS Reading; IS 504,06/06/2023,06/08/2023,N,Y,60,,505,Level 3,1 Grade Level Below,18,3,580L,480L-630L,,Tested Out,Mid or Above Grade Level,561,Max Score,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,496,Level 2,2 Grade Levels Below,494,Level 2,2 Grade Levels Below,486,Level 2,2 Grade Levels Below,503,Level 3,1 Grade Level Below,33,28,62,118,53,579,Not Provided
iReady 4,ELA,1232020,2,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,ESL Grade 2 - Dougherty - Period 10-6329fe7fb03eb90ba77c5d04; Homeroom 2 - Zalot - Homeroom PS-62c47c737082816f437258e2; Mathematics 2 - Wright - Period 5-62f693c16b50b95cca1b4ffa; Reading 2 - Zalot - Period 13-63110145716749135e754645; Science 2 - Del Rosario - Period 3-62fa506e8914f13d8a6cb7fb; Small Group Instruction/What I Need 2 - Zalot - Period 11-631f46a61fd27826215332fd; Structured Play 2 - Gonzalez Giraldo - Period 6-62f693c16b50b95cca1b4ff6,"Brady, Jacquelyn; Cesar-Joisil, Daphnir; Del Rosario, Gina; Dougherty, Erin; Gonzalez Giraldo, Isabella; Wright, Ryan; Zalot, Amy",2nd Grade Reading; All PS Reading; Catapult Tutoring with Added Students; PS 504; PS ESL; Primary School,06/06/2023,06/06/2023,N,Y,35,Yellow Rush Flag,456,Level 1,1 Grade Level Below,19,3,360L,260L-410L,,Tested Out,Mid or Above Grade Level,503,Early 2,Early On Grade Level,442,Level 1,1 Grade Level Below,457,Level 1,1 Grade Level Below,440,Level 1,1 Grade Level Below,467,Level 1,1 Grade Level Below,407,Level K,2 Grade Levels Below,36,39,53,92,68,513,Y
iReady 4,ELA,1222020,2,2022-2023,Enrolled,female,Y,Hispanic or Latino,,,,,ESL Grade 2 - Dougherty - Period 11-6329fdbd6530ad2d4b05e91f; Homeroom 2 - Del Rosario - Homeroom PS-62c47c737082816f437258e0; Mathematics 2 - Wright - Period 14-62f693c16b50b95cca1b4ff9; Reading 2 - Zalot - Period 3-6311008874fc9c462467db72; Science 2 - Del Rosario - Period 6-62fa506e8914f13d8a6cb7f9; Small Group Instruction/What I Need 2 - Del Rosario - Period 11-631f46170d210e04a75e8370; Small Group Instruction/What I Need 2 - Del Rosario - Period 13-631f5878e8ee8f670a399763; Structured Play 2 - Gonzalez Giraldo - Period 10-62f693c16b50b95cca1b4ff7,"Brady, Jacquelyn; Cesar-Joisil, Daphnir; Del Rosario, Gina; Dougherty, Erin; Gonzalez Giraldo, Isabella; Wright, Ryan; Zalot, Amy",2nd Grade Reading; All PS Reading; Catapult Tutoring with Added Students; PS ESL; Primary School,06/06/2023,06/06/2023,N,Y,70,,468,Level 1,1 Grade Level Below,24,3,415L,315L-465L,,Tested Out,Mid or Above Grade Level,501,Early 2,Early On Grade Level,479,Level 2,Early On Grade Level,466,Level 1,1 Grade Level Below,448,Level 1,1 Grade Level Below,440,Level 1,1 Grade Level Below,455,Level 1,1 Grade Level Below,43,39,53,110,81,513,N
iReady 4,ELA,1242020,2,2022-2023,Enrolled,female,N,Black or African American,,,,,Homeroom 2 - Zalot - Homeroom PS-62c47c737082816f437258e2; Mathematics 2 - Wright - Period 5-62f693c16b50b95cca1b4ffa; Reading 2 - Zalot - Period 13-63110145716749135e754645; Science 2 - Del Rosario - Period 3-62fa506e8914f13d8a6cb7fb; Small Group Instruction/What I Need 2 - Zalot - Period 11-631f46a61fd27826215332fd; Structured Play 2 - Gonzalez Giraldo - Period 6-62f693c16b50b95cca1b4ff6,"Brady, Jacquelyn; Cesar-Joisil, Daphnir; Del Rosario, Gina; Gonzalez Giraldo, Isabella; Wright, Ryan; Zalot, Amy",2nd Grade Reading; All PS Reading; Primary School,06/06/2023,06/06/2023,N,Y,38,,547,Late 2,Mid or Above Grade Level,84,5,770L,670L-820L,,Tested Out,Mid or Above Grade Level,570,Max Score,Mid or Above Grade Level,627,Max Score,Mid or Above Grade Level,549,Late 2,Mid or Above Grade Level,513,Early 2,Early On Grade Level,483,Level 1,1 Grade Level Below,535,Mid 2,Mid or Above Grade Level,42,29,43,145,98,513,N
iReady 4,ELA,1272019,3,2022-2023,Enrolled,male,N,Black or African American,,,,,Homeroom 3 - Stadler - Homeroom IS-62c47c737082816f437258db; Mathematics 3 - Swaby - Period 7-62f2b003e760951681540018; Reading 3 - Stadler - Period 14-62f2b003e760951681540008; Science 3 - Stadler - Period 3-62f2b003e760951681540002; Small Group Instruction/What I Need 3 - Stadler - Period 5-62f6a39a9d2533345d748d8b,"Stadler, Haley; Swaby, Chisoney",3rd Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,35,,483,Level 2,1 Grade Level Below,18,2,480L,380L-530L,,Tested Out,Mid or Above Grade Level,494,Level 2,1 Grade Level Below,,Tested Out,Mid or Above Grade Level,514,Early 3,Early On Grade Level,460,Level 1,2 Grade Levels Below,481,Level 2,1 Grade Level Below,440,Level 1,2 Grade Levels Below,92,36,79,256,116,545,Y
iReady 4,ELA,2562018,4,2022-2023,Enrolled,male,N,Black or African American,,,,,Homeroom 4 - Shugars - Homeroom IS-62c47c737082816f437258dd; Mathematics 4 - Turner - Period 3-62f2b003e76095168154001a; Reading 4 - Shugars - Period 13-62f2b003e76095168154000e; Science 4 - Shugars - Period 7-62f2b003e76095168153fffe; Small Group Instruction/What I Need 4 - Shugars - Period 11-62f6a39a9d2533345d748d8c,"Moore, Andrea; Shugars, Emily; Turner, Inayah",4th Grade Reading; All IS Reading; Catapult Tutoring with Added Students,06/06/2023,06/06/2023,N,Y,116,,542,Level 3,1 Grade Level Below,38,3,750L,650L-800L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,521,Level 3,1 Grade Level Below,553,Level 3,1 Grade Level Below,557,Early 4,Early On Grade Level,549,Level 3,1 Grade Level Below,38,20,36,190,106,579,Not Provided
iReady 4,ELA,1212014,8,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,"Algebra I - Nelson - Period 13-630647b14839ae3b4b0b9d30; Current Events 8 - Joyner - Period 11-639232b2f0d9f002dd40f468; ELA 8 - Fergusson - Period 3-6306414edec4186a935552a8; Homeroom 8 - Nelson - Homeroom MS-62c47c737082816f437258d0; Music 8 - Villamil Gomez - Period 6-63065c114d1c76105a6c2ef8; Science 8 - Davis - Period 8-63064681dbb9dd4f943007a2; Social Studies, History, and Geography 8 - Henry - Period 10-63065a5c19a57649536a7386","Davis, Georgette; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; Nelson, Jaclyn; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",8th Grade Reading; All MS Scholars; All MS Students,06/06/2023,06/06/2023,N,Y,69,,636,Early 8,Early On Grade Level,63,5,1175L,1075L - 1225L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,623,Early 8,Early On Grade Level,642,Mid 8,Mid or Above Grade Level,643,Mid 8,Mid or Above Grade Level,641,Early 8,Early On Grade Level,13,4,22,325,59,642,Not Provided
iReady 4,ELA,1282019,3,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,Homeroom 3 - Carroll - Homeroom IS-62c47c737082816f437258da; Mathematics 3 - Swaby - Period 11-62f2b003e76095168154001d; Reading 3 - Carroll - Period 3-62f2b003e760951681540009; Science 3 - Carroll - Period 7-62f2b003e76095168153fffd; Small Group Instruction/What I Need 3 - Carroll - Period 5-62f6a39a9d2533345d748d89,"Carroll, Victoria; Swaby, Chisoney",3rd Grade Reading; All IS Reading,06/06/2023,06/06/2023,N,Y,57,,507,Level 2,1 Grade Level Below,30,3,590L,490L-640L,,Tested Out,Mid or Above Grade Level,564,Max Score,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,509,Level 2,1 Grade Level Below,490,Level 2,1 Grade Level Below,496,Level 2,1 Grade Level Below,484,Level 2,1 Grade Level Below,64,33,63,194,102,545,N
iReady 4,ELA,1252023,K,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,Homeroom K - Eugene - Homeroom PS-62c47c737082816f437258e1; Mathematics K - Eugene - Period 14-62f693766c6b433381175d31; Reading K - Eugene - Period 5-62fa4e36c252017f1f56294b; Science K - Eugene - Period 10-62fbb3244ef1494353591b4e; Small Group Instruction/What I Need K - Eugene - Period 13-62fa51354736b34e5e7da824; Small Group Instruction/What I Need K - Eugene - Period 3-62fa5465035865068d0f3f81; Structured Play K - Gonzalez Giraldo - Period 11-62f693766c6b433381175d2d,"Brady, Jacquelyn; Eugene, Christina; Gonzalez Giraldo, Isabella; Mason, Sesheni",All PS Reading; Kindergarten Reading; Primary School,06/06/2023,06/06/2023,N,Y,39,,434,Late K,Mid or Above Grade Level,86,5,10L,BR90L-60L,492,Max Score,Mid or Above Grade Level,418,Mid K,Mid or Above Grade Level,485,Level 2,Mid or Above Grade Level,415,Mid / Late K,Mid or Above Grade Level,399,Mid / Late K,Mid or Above Grade Level,386,Early K,Early On Grade Level,407,Mid / Late K,Mid or Above Grade Level,125,49,67,255,187,396,N
iReady 4,ELA,1772015,7,2022-2023,Enrolled,female,N,Black or African American,,,,,"Current Events 7 - Joyner - Period 13-63923111e86fa7519d6ba851; ELA 7 - McMillan - Period 13-6306414edec4186a935552a2; Homeroom 7 - Fergusson - Homeroom MS-62c47c737082816f437258cf; Mathematics 7 - DiPierro - Period 5-630647b14839ae3b4b0b9d2a; Music 7 - Villamil Gomez - Period 10-63065c114d1c76105a6c2efa; Science 7 - Kelley - Period 8-63064681dbb9dd4f943007a4; Social Studies, History, and Geography 7 - Henry - Period 3-63065a5c19a57649536a7388","DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; McMillan, Michele; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",7th Grade Reading; All MS Scholars; All MS Students; MS Tier 2 iReady 2 ELA,06/06/2023,06/06/2023,N,Y,217,,599,Level 6,1 Grade Level Below,43,3,1010L,910L-1060L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,566,Level 5,2 Grade Levels Below,618,Early 7,Early On Grade Level,616,Early 7,Early On Grade Level,619,Early 7,Early On Grade Level,47,17,50,276,94,632,Not Provided
iReady 4,ELA,1222014,7,2022-2023,Enrolled,male,N,Black or African American,,,,,"Current Events 7 - Joyner - Period 3-639230c7d60ac242f53d6983; ELA 7 - McMillan - Period 8-6306414edec4186a935552a4; Homeroom 7 - Robinson - Homeroom MS-62c47c737082816f437258d1; Mathematics 7 - DiPierro - Period 13-630647b14839ae3b4b0b9d2b; Music 7 - Villamil Gomez - Period 3-63065c114d1c76105a6c2ef9; Science 7 - Kelley - Period 5-63064681dbb9dd4f943007a3; Social Studies, History, and Geography 7 - Erstein - Period 7-63065a5c19a57649536a7387","Davis, Georgette; DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Kelley, Brian; Lightfoot, Shea; McMillan, Michele; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",7th Grade Reading; All MS Scholars; All MS Students,06/06/2023,06/06/2023,N,Y,135,,605,Level 6,1 Grade Level Below,47,3,1035L,935L-1085L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,588,Level 6,1 Grade Level Below,614,Early 7,Early On Grade Level,630,Early 7,Early On Grade Level,600,Level 6,1 Grade Level Below,24,12,37,200,65,632,Not Provided
iReady 4,ELA,2482018,7,2022-2023,Enrolled,male,Y,Hispanic or Latino,,,,,"Current Events 7 - Joyner - Period 5-63923060f10539797e54e91b; ELA 7 - McMillan - Period 3-6306414edec4186a935552a5; Homeroom 7 - Abdul-Quddus - Homeroom MS-62c47c737082816f437258d4; Mathematics 7 - DiPierro - Period 8-630647b14839ae3b4b0b9d2c; Music 7 - Villamil Gomez - Period 6-63065c114d1c76105a6c2efb; Science 7 - Davis - Period 14-63064681dbb9dd4f943007a0; Social Studies, History, and Geography 7 - Erstein - Period 11-63065a5c19a57649536a738a","Davis, Georgette; DiPierro, Robert; Erstein, Kali; Fergusson, Devin; Henry, Christopher; Lightfoot, Shea; McMillan, Michele; Otero, Jasmine; Robinson, LaShun; Villamil Gomez, Diego",7th Grade Reading; All MS Scholars; All MS Students; ELA 7 - SWA - Summiya; MS IEP; MS SWA 7,06/06/2023,06/06/2023,N,Y,47,,526,Level 3,3 or More Grade Levels Below,11,3,675L,575L-725L,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,,Tested Out,Mid or Above Grade Level,530,Level 3,3 or More Grade Levels Below,524,Level 3,3 or More Grade Levels Below,510,Level 3,3 or More Grade Levels Below,537,Level 3,3 or More Grade Levels Below,32,17,50,188,64,632,Not Provided
